tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,favorite_count,retweet_count,jpg_url,img_num,first_probability,probability_conf1,for_dog_1,second_probability,probability_conf2,for_dog_2,third_probability,probability_conf3,for_dog_3,dog_stage
892420643555336193,2017-08-01 16:23:56+00:00,http://twitter.com,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,39467,8853,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,
892177421306343426,2017-08-01 00:17:27+00:00,http://twitter.com,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,33819,6514,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,
891815181378084864,2017-07-31 00:18:03+00:00,http://twitter.com,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,25461,4328,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,
891689557279858688,2017-07-30 15:58:51+00:00,http://twitter.com,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,42908,8964,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper towel,0.1702779999999999,False,labrador retriever,0.1680859999999999,True,spatula,0.0408359,False,
891327558926688256,2017-07-29 16:00:24+00:00,http://twitter.com,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,41048,9774,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,english springer,0.2257699999999999,True,german short-haired pointer,0.175219,True,
890971913173991426,2017-07-28 16:27:12+00:00,http://twitter.com,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,12041,2158,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,appenzeller,0.341703,True,border collie,0.199287,True,ice lolly,0.193548,False,
890609185150312448,2017-07-27 16:25:51+00:00,http://twitter.com,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,28226,4429,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish terrier,0.4875739999999999,True,irish setter,0.193054,True,chesapeake bay retriever,0.118184,True,
890240255349198849,2017-07-26 15:59:51+00:00,http://twitter.com,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,32467,7711,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True,doggo
890006608113172480,2017-07-26 00:31:25+00:00,http://twitter.com,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,31166,7624,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True,
889880896479866881,2017-07-25 16:11:53+00:00,http://twitter.com,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,28268,5156,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,french bulldog,0.377417,True,labrador retriever,0.151317,True,muzzle,0.0829811,False,
889638837579907072,2017-07-25 00:10:02+00:00,http://twitter.com,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,27672,4735,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,french bulldog,0.99165,True,boxer,0.00212864,True,staffordshire bullterrier,0.00149818,True,
889531135344209921,2017-07-24 17:02:04+00:00,http://twitter.com,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,15359,2321,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden retriever,0.953442,True,labrador retriever,0.0138341,True,redbone,0.00795775,True,puppo
889278841981685760,2017-07-24 00:19:32+00:00,http://twitter.com,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,25652,5637,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,0.626152,True,borzoi,0.194742,True,saluki,0.0273507,True,
888917238123831296,2017-07-23 00:22:39+00:00,http://twitter.com,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,29611,4709,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden retriever,0.714719,True,tibetan mastiff,0.1201839999999999,True,labrador retriever,0.1055059999999999,True,
888804989199671297,2017-07-22 16:56:37+00:00,http://twitter.com,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,26080,4559,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,golden retriever,0.46976,True,labrador retriever,0.184172,True,english setter,0.0734817,True,
